<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	10:00:00	14.44	14.44	14.34	14.41	1016	551400	1
2016.01.04	11:00:00	14.42	14.53	14.40	14.47	1089	441700	1
2016.01.04	12:00:00	14.47	14.57	14.44	14.49	1701	708600	1
2016.01.04	13:00:00	14.50	14.57	14.40	14.41	2035	611200	1
2016.01.04	14:00:00	14.40	14.45	14.34	14.40	1914	742900	1
2016.01.04	15:00:00	14.40	14.49	14.39	14.45	1724	518700	1
2016.01.04	16:00:00	14.46	14.46	14.36	14.41	2074	783200	1
2016.01.04	17:00:00	14.40	14.41	14.24	14.24	2796	1729800	1
2016.01.05	10:00:00	14.41	14.57	14.32	14.36	1105	637200	1
2016.01.05	11:00:00	14.36	14.49	14.36	14.46	1178	314200	1
2016.01.05	12:00:00	14.46	14.53	14.43	14.49	2041	715500	1
2016.01.05	13:00:00	14.49	14.49	14.32	14.40	2038	610000	1
2016.01.05	14:00:00	14.40	14.47	14.32	14.37	2619	871200	1
2016.01.05	15:00:00	14.38	14.39	14.30	14.36	2130	633400	1
2016.01.05	16:00:00	14.36	14.41	14.33	14.37	2603	756700	1
2016.01.05	17:00:00	14.37	14.38	14.29	14.29	2202	1065800	1
2016.01.06	10:00:00	14.13	14.22	14.02	14.03	1282	762300	1
2016.01.06	11:00:00	14.04	14.20	14.03	14.18	1294	378800	1
2016.01.06	12:00:00	14.16	14.30	14.13	14.24	1771	562400	1
2016.01.06	13:00:00	14.24	14.24	14.16	14.23	2408	541200	1
2016.01.06	14:00:00	14.22	14.47	14.22	14.40	3411	822600	1
2016.01.06	15:00:00	14.40	14.45	14.36	14.44	2395	451500	1
2016.01.06	16:00:00	14.44	14.49	14.35	14.45	2684	756500	1
2016.01.06	17:00:00	14.44	14.47	14.29	14.29	2486	1579700	1
2016.01.07	10:00:00	14.10	14.12	14.01	14.04	1343	953000	1
2016.01.07	11:00:00	14.04	14.23	14.01	14.21	1598	920100	1
2016.01.07	12:00:00	14.21	14.23	14.05	14.05	2235	889400	1
2016.01.07	13:00:00	14.05	14.13	14.05	14.13	1303	454700	1
2016.01.07	14:00:00	14.13	14.19	14.11	14.16	1386	562600	1
2016.01.07	15:00:00	14.16	14.18	14.11	14.14	1448	432400	1
2016.01.07	16:00:00	14.14	14.14	14.02	14.06	1733	474400	1
2016.01.07	17:00:00	14.06	14.06	13.94	13.95	3011	1789100	1
2016.01.08	10:00:00	14.19	14.26	14.13	14.22	752	420400	1
2016.01.08	11:00:00	14.21	14.36	14.06	14.22	911	521300	1
2016.01.08	12:00:00	14.23	14.26	14.04	14.09	1129	486200	1
2016.01.08	13:00:00	14.08	14.11	13.96	13.99	1636	610700	1
2016.01.08	14:00:00	13.98	14.05	13.81	13.95	2430	830400	1
2016.01.08	15:00:00	13.97	14.07	13.95	13.99	1455	490300	1
2016.01.08	16:00:00	13.97	14.00	13.87	13.95	1802	416600	1
2016.01.08	17:00:00	13.96	13.98	13.85	13.95	1457	916600	1
2016.01.11	10:00:00	14.00	14.00	13.81	13.92	846	456200	1
2016.01.11	11:00:00	13.92	14.02	13.92	13.98	1084	302300	1
2016.01.11	12:00:00	13.99	14.06	13.95	13.96	1543	429000	1
2016.01.11	13:00:00	13.95	13.98	13.54	13.56	1807	769800	1
2016.01.11	14:00:00	13.56	13.69	13.51	13.60	1561	673600	1
2016.01.11	15:00:00	13.60	13.65	13.53	13.57	1268	415200	1
2016.01.11	16:00:00	13.57	13.61	13.50	13.50	1946	670000	1
2016.01.11	17:00:00	13.50	13.62	13.50	13.55	2813	1617900	1
2016.01.12	10:00:00	13.67	13.85	13.38	13.66	943	536500	1
2016.01.12	11:00:00	13.65	13.80	13.61	13.79	767	640300	1
2016.01.12	12:00:00	13.79	13.79	13.57	13.57	1105	594600	1
2016.01.12	13:00:00	13.58	13.60	13.28	13.39	1896	980800	1
2016.01.12	14:00:00	13.40	13.56	13.38	13.50	1406	591800	1
2016.01.12	15:00:00	13.50	13.50	13.30	13.37	1629	1072000	1
2016.01.12	16:00:00	13.37	13.39	13.19	13.19	3071	720300	1
2016.01.12	17:00:00	13.19	13.21	13.08	13.08	4043	1840400	1
2016.01.13	10:00:00	13.32	13.43	13.16	13.22	1166	965300	1
2016.01.13	11:00:00	13.21	13.22	13.00	13.19	1718	905900	1
2016.01.13	12:00:00	13.20	13.20	13.07	13.09	1643	833100	1
2016.01.13	13:00:00	13.08	13.13	12.89	12.95	2192	834300	1
2016.01.13	14:00:00	12.95	12.98	12.82	12.84	1727	873300	1
2016.01.13	15:00:00	12.83	12.93	12.82	12.89	1999	662800	1
2016.01.13	16:00:00	12.89	12.94	12.82	12.85	2875	836700	1
2016.01.13	17:00:00	12.85	12.92	12.72	12.84	2693	1903700	1
2016.01.14	10:00:00	13.00	13.01	12.73	12.80	1405	611300	1
2016.01.14	11:00:00	12.80	12.84	12.76	12.78	1060	390700	1
2016.01.14	12:00:00	12.77	12.87	12.75	12.79	1871	1023600	1
2016.01.14	13:00:00	12.77	13.08	12.66	13.05	2451	2036300	1
2016.01.14	14:00:00	13.06	13.08	12.90	13.07	1667	1936400	1
2016.01.14	15:00:00	13.06	13.48	13.06	13.38	2513	1121200	1
2016.01.14	16:00:00	13.37	13.44	13.28	13.35	1544	682400	1
2016.01.14	17:00:00	13.34	13.56	13.27	13.56	2465	1384800	1
2016.01.15	10:00:00	13.19	13.28	13.06	13.23	1856	999200	1
2016.01.15	11:00:00	13.23	13.37	13.10	13.13	2595	1061600	1
2016.01.15	12:00:00	13.12	13.19	12.97	13.07	2427	1000800	1
2016.01.15	13:00:00	13.08	13.16	13.05	13.05	2371	657000	1
2016.01.15	14:00:00	13.06	13.06	12.95	12.98	3173	1022500	1
2016.01.15	15:00:00	12.98	13.08	12.92	13.06	3711	926500	1
2016.01.15	16:00:00	13.06	13.21	12.99	13.15	3257	853300	1
2016.01.15	17:00:00	13.15	13.15	12.98	13.04	3204	1594000	1
2016.01.18	10:00:00	13.11	13.21	13.04	13.11	1086	398700	1
2016.01.18	11:00:00	13.11	13.15	13.06	13.09	1352	364700	1
2016.01.18	12:00:00	13.10	13.11	12.91	13.02	1566	598900	1
2016.01.18	13:00:00	13.01	13.05	13.00	13.03	1174	251100	1
2016.01.18	14:00:00	13.04	13.09	13.04	13.05	1171	283400	1
2016.01.18	15:00:00	13.05	13.10	13.04	13.05	1536	392800	1
2016.01.18	16:00:00	13.06	13.09	13.03	13.04	1352	342600	1
2016.01.18	17:00:00	13.04	13.05	12.96	12.96	1098	866100	1
2016.01.19	10:00:00	13.32	13.35	13.06	13.19	1068	652900	1
2016.01.19	11:00:00	13.18	13.20	13.11	13.14	1364	509500	1
2016.01.19	12:00:00	13.14	13.16	12.93	12.98	1885	637100	1
2016.01.19	13:00:00	12.97	13.04	12.94	12.96	1514	571900	1
