<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	10:00:00	10.45	10.49	10.40	10.47	687	357300	1
2016.01.04	11:00:00	10.47	10.55	10.47	10.52	1119	418300	1
2016.01.04	12:00:00	10.51	10.66	10.43	10.47	1848	1080900	1
2016.01.04	13:00:00	10.47	10.57	10.42	10.44	2491	1417900	1
2016.01.04	14:00:00	10.43	10.46	10.40	10.41	1412	792000	1
2016.01.04	15:00:00	10.40	10.41	10.27	10.31	2730	1685700	1
2016.01.04	16:00:00	10.30	10.32	10.20	10.24	4150	2214300	1
2016.01.04	17:00:00	10.25	10.29	10.15	10.23	3926	1997600	1
2016.01.04	18:00:00	10.17	10.17	10.17	10.17	116	1430200	1
2016.01.05	10:00:00	10.22	10.39	10.22	10.31	2831	781400	1
2016.01.05	11:00:00	10.31	10.45	10.31	10.41	2275	515100	1
2016.01.05	12:00:00	10.41	10.47	10.37	10.44	2961	738000	1
2016.01.05	13:00:00	10.45	10.51	10.34	10.49	2721	630800	1
2016.01.05	14:00:00	10.50	10.50	10.40	10.45	2600	535300	1
2016.01.05	15:00:00	10.45	10.53	10.41	10.52	2734	769200	1
2016.01.05	16:00:00	10.52	10.53	10.44	10.50	3448	1887500	1
2016.01.05	17:00:00	10.51	10.63	10.50	10.55	3572	3783900	1
2016.01.05	18:00:00	10.57	10.57	10.57	10.57	92	1199700	1
2016.01.06	10:00:00	10.48	10.48	10.37	10.43	1916	639800	1
2016.01.06	11:00:00	10.44	10.55	10.37	10.52	3058	788900	1
2016.01.06	12:00:00	10.53	10.53	10.47	10.53	3357	548700	1
2016.01.06	13:00:00	10.53	10.58	10.51	10.55	3413	894000	1
2016.01.06	14:00:00	10.55	10.67	10.53	10.65	3755	685000	1
2016.01.06	15:00:00	10.65	10.66	10.57	10.65	3935	709100	1
2016.01.06	16:00:00	10.66	10.67	10.60	10.65	4996	924200	1
2016.01.06	17:00:00	10.65	10.66	10.55	10.58	4144	872700	1
2016.01.06	18:00:00	10.56	10.56	10.56	10.56	103	1120800	1
2016.01.07	10:00:00	10.47	10.49	10.28	10.32	1671	1527400	1
2016.01.07	11:00:00	10.32	10.34	10.24	10.25	2740	958000	1
2016.01.07	12:00:00	10.25	10.34	10.23	10.29	4418	1389800	1
2016.01.07	13:00:00	10.29	10.31	10.23	10.24	3454	1012800	1
2016.01.07	14:00:00	10.24	10.39	10.24	10.34	4728	2061800	1
2016.01.07	15:00:00	10.35	10.37	10.22	10.23	5155	1918400	1
2016.01.07	16:00:00	10.23	10.23	10.06	10.14	5155	2612000	1
2016.01.07	17:00:00	10.14	10.16	10.04	10.07	4458	1427400	1
2016.01.07	18:00:00	10.11	10.11	10.11	10.11	114	1680900	1
2016.01.08	10:00:00	10.21	10.23	10.17	10.19	1455	511300	1
2016.01.08	11:00:00	10.22	10.32	10.16	10.29	1701	774800	1
2016.01.08	12:00:00	10.30	10.30	10.25	10.28	2030	1136000	1
2016.01.08	13:00:00	10.28	10.31	10.22	10.27	2269	728400	1
2016.01.08	14:00:00	10.27	10.32	10.22	10.28	1750	596700	1
