<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	10:00:00	49.97	50.23	48.93	48.97	416	100000	1
2016.01.04	11:00:00	48.97	49.57	48.64	49.41	691	119400	1
2016.01.04	12:00:00	49.42	49.63	48.55	48.72	1273	181600	1
2016.01.04	13:00:00	48.73	48.88	48.48	48.70	969	119800	1
2016.01.04	14:00:00	48.71	49.19	48.60	49.15	886	125600	1
2016.01.04	15:00:00	49.12	49.17	48.65	49.05	873	112600	1
2016.01.04	16:00:00	49.06	49.12	48.64	48.77	670	88700	1
2016.01.04	17:00:00	48.76	48.99	48.64	48.83	658	108000	1
2016.01.04	18:00:00	48.74	48.74	48.74	48.74	155	164000	1
2016.01.05	10:00:00	48.43	48.62	48.22	48.52	451	84900	1
2016.01.05	11:00:00	48.53	48.84	48.45	48.66	708	117000	1
2016.01.05	12:00:00	48.63	48.94	48.54	48.74	771	109300	1
2016.01.05	13:00:00	48.78	49.23	48.68	48.86	813	116100	1
2016.01.05	14:00:00	48.86	48.99	48.59	48.85	762	118700	1
2016.01.05	15:00:00	48.85	48.88	48.53	48.74	735	125900	1
2016.01.05	16:00:00	48.77	49.13	48.52	48.87	999	159600	1
2016.01.05	17:00:00	48.86	49.03	48.71	48.81	849	152800	1
2016.01.05	18:00:00	48.78	48.78	48.78	48.78	106	143400	1
2016.01.06	10:00:00	48.34	48.89	48.09	48.50	412	62400	1
2016.01.06	11:00:00	48.50	48.80	48.38	48.75	686	95900	1
2016.01.06	12:00:00	48.80	48.82	47.96	48.12	1417	233300	1
2016.01.06	13:00:00	48.14	48.44	48.05	48.19	1368	198300	1
2016.01.06	14:00:00	48.20	48.45	48.15	48.38	1501	247200	1
2016.01.06	15:00:00	48.38	48.52	48.18	48.52	1349	180500	1
2016.01.06	16:00:00	48.54	48.62	48.31	48.53	1691	240400	1
2016.01.06	17:00:00	48.53	48.78	48.42	48.55	1587	216200	1
2016.01.06	18:00:00	48.46	48.46	48.46	48.46	84	139100	1
2016.01.07	10:00:00	48.13	48.79	47.21	47.30	1353	204700	1
2016.01.07	11:00:00	47.30	47.42	46.52	47.00	1195	166000	1
2016.01.07	12:00:00	47.03	47.04	46.06	46.07	1242	186300	1
2016.01.07	13:00:00	46.07	46.10	45.63	45.72	1713	303300	1
2016.01.07	14:00:00	45.72	45.92	45.49	45.92	1139	234500	1
2016.01.07	15:00:00	45.91	46.16	45.77	45.96	1505	180000	1
2016.01.07	16:00:00	45.96	45.96	45.63	45.88	1693	225300	1
2016.01.07	17:00:00	45.88	46.12	45.73	45.93	1966	498800	1
2016.01.07	18:00:00	45.66	45.66	45.66	45.66	185	236200	1
2016.01.08	10:00:00	46.22	46.23	45.51	45.56	855	131000	1
2016.01.08	11:00:00	45.56	45.62	44.92	44.92	961	150200	1
2016.01.08	12:00:00	44.94	45.56	44.82	45.47	1079	165500	1
