<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	10:00:00	4.57	4.57	4.48	4.56	627	399300	1
2016.01.04	11:00:00	4.55	4.62	4.55	4.58	915	362800	1
2016.01.04	12:00:00	4.58	4.64	4.56	4.56	1121	414000	1
2016.01.04	13:00:00	4.57	4.60	4.56	4.57	1742	513500	1
2016.01.04	14:00:00	4.57	4.58	4.53	4.56	1300	468700	1
2016.01.04	15:00:00	4.56	4.58	4.54	4.57	1266	412800	1
2016.01.04	16:00:00	4.57	4.62	4.57	4.58	1237	495700	1
2016.01.04	17:00:00	4.58	4.59	4.55	4.56	1734	644700	1
2016.01.04	18:00:00	4.51	4.51	4.51	4.51	162	1346700	1
2016.01.05	10:00:00	4.52	4.58	4.51	4.54	466	408800	1
2016.01.05	11:00:00	4.54	4.56	4.51	4.53	674	544800	1
2016.01.05	12:00:00	4.53	4.54	4.44	4.46	1701	839500	1
2016.01.05	13:00:00	4.45	4.46	4.37	4.38	1812	966600	1
2016.01.05	14:00:00	4.37	4.41	4.37	4.39	1524	600400	1
2016.01.05	15:00:00	4.38	4.40	4.36	4.36	1980	821800	1
2016.01.05	16:00:00	4.36	4.37	4.30	4.30	2422	866700	1
2016.01.05	17:00:00	4.30	4.35	4.30	4.32	2712	1090200	1
2016.01.05	18:00:00	4.30	4.30	4.30	4.30	117	748600	1
2016.01.06	10:00:00	4.30	4.30	4.09	4.10	1233	1599500	1
2016.01.06	11:00:00	4.11	4.18	4.10	4.14	737	589200	1
2016.01.06	12:00:00	4.15	4.18	4.11	4.15	1787	762800	1
2016.01.06	13:00:00	4.16	4.16	3.99	4.02	2705	1951900	1
2016.01.06	14:00:00	4.02	4.05	3.98	4.04	1691	983800	1
2016.01.06	15:00:00	4.04	4.04	3.97	4.00	1384	786400	1
2016.01.06	16:00:00	4.01	4.01	3.95	3.96	2211	1125800	1
2016.01.06	17:00:00	3.97	4.02	3.96	3.99	2321	1330800	1
2016.01.06	18:00:00	3.95	3.95	3.95	3.95	141	1115600	1
2016.01.07	10:00:00	3.87	3.87	3.71	3.74	1713	1676500	1
2016.01.07	11:00:00	3.74	3.78	3.67	3.76	2574	1437200	1
2016.01.07	12:00:00	3.76	3.86	3.76	3.79	2668	1131600	1
2016.01.07	13:00:00	3.79	3.79	3.69	3.75	3724	1525500	1
2016.01.07	14:00:00	3.74	3.82	3.73	3.78	2771	1135000	1
2016.01.07	15:00:00	3.78	3.86	3.77	3.84	3518	1611400	1
2016.01.07	16:00:00	3.84	3.85	3.77	3.80	3152	1350800	1
2016.01.07	17:00:00	3.80	3.83	3.76	3.79	2662	1388300	1
2016.01.07	18:00:00	3.77	3.77	3.77	3.77	125	1028000	1
2016.01.08	10:00:00	3.89	3.99	3.88	3.96	1474	1268300	1
2016.01.08	11:00:00	3.96	4.02	3.92	4.00	2369	1296600	1
2016.01.08	12:00:00	4.00	4.02	3.99	4.00	4574	1406800	1
2016.01.08	13:00:00	4.00	4.01	3.90	3.91	3372	1286400	1
2016.01.08	14:00:00	3.91	3.95	3.86	3.89	4400	1927200	1
2016.01.08	15:00:00	3.89	3.94	3.89	3.93	3473	1092300	1
2016.01.08	16:00:00	3.92	3.94	3.90	3.91	3110	781200	1
2016.01.08	17:00:00	3.91	3.92	3.86	3.88	2919	824800	1
2016.01.08	18:00:00	3.90	3.90	3.90	3.90	97	808800	1
2016.01.11	10:00:00	3.87	3.95	3.81	3.90	737	705200	1
2016.01.11	11:00:00	3.90	4.07	3.89	4.03	900	589600	1
2016.01.11	12:00:00	4.04	4.05	3.87	3.93	2339	1286700	1
2016.01.11	13:00:00	3.93	3.94	3.84	3.84	2855	1387800	1
2016.01.11	14:00:00	3.84	3.87	3.81	3.83	2327	759900	1
2016.01.11	15:00:00	3.83	3.85	3.80	3.80	1142	438700	1
2016.01.11	16:00:00	3.80	3.81	3.78	3.78	1119	775100	1
2016.01.11	17:00:00	3.78	3.81	3.77	3.78	1295	705100	1
2016.01.11	18:00:00	3.75	3.75	3.75	3.75	127	3326500	1
2016.01.12	10:00:00	3.79	3.84	3.72	3.73	615	514300	1
2016.01.12	11:00:00	3.73	3.81	3.67	3.75	1164	735500	1
2016.01.12	12:00:00	3.75	3.76	3.66	3.68	2350	1288300	1
2016.01.12	13:00:00	3.68	3.70	3.55	3.60	3354	1852100	1
2016.01.12	14:00:00	3.60	3.62	3.59	3.60	1882	1084400	1
2016.01.12	15:00:00	3.60	3.63	3.58	3.60	1785	851300	1
2016.01.12	16:00:00	3.59	3.69	3.58	3.66	2665	1773500	1
2016.01.12	17:00:00	3.66	3.72	3.65	3.66	2599	947400	1
2016.01.12	18:00:00	3.64	3.64	3.64	3.64	97	842000	1
2016.01.13	10:00:00	3.73	3.77	3.67	3.71	621	1207700	1
2016.01.13	11:00:00	3.71	3.72	3.63	3.64	1140	874100	1
2016.01.13	12:00:00	3.64	3.72	3.62	3.69	2182	1453800	1
2016.01.13	13:00:00	3.69	3.70	3.58	3.58	1792	1224900	1
2016.01.13	14:00:00	3.58	3.60	3.51	3.51	3418	1751900	1
2016.01.13	15:00:00	3.51	3.55	3.49	3.50	1883	1455300	1
2016.01.13	16:00:00	3.49	3.50	3.46	3.46	2220	912800	1
2016.01.13	17:00:00	3.46	3.47	3.39	3.43	3332	2238700	1
2016.01.13	18:00:00	3.40	3.40	3.40	3.40	143	1363800	1
2016.01.14	10:00:00	3.38	3.45	3.38	3.41	636	489700	1
2016.01.14	11:00:00	3.41	3.42	3.33	3.33	855	822500	1
2016.01.14	12:00:00	3.33	3.36	3.31	3.33	1946	1212800	1
2016.01.14	13:00:00	3.33	3.52	3.33	3.42	2225	1462800	1
2016.01.14	14:00:00	3.43	3.46	3.37	3.42	2147	1210400	1
2016.01.14	15:00:00	3.41	3.54	3.41	3.45	2738	1268500	1
2016.01.14	16:00:00	3.45	3.51	3.44	3.49	2454	950000	1
2016.01.14	17:00:00	3.49	3.51	3.46	3.49	1863	998400	1
2016.01.14	18:00:00	3.50	3.50	3.50	3.50	84	568700	1
2016.01.15	10:00:00	3.37	3.44	3.35	3.42	664	719600	1
2016.01.15	11:00:00	3.42	3.43	3.36	3.37	1154	539700	1
2016.01.15	12:00:00	3.37	3.41	3.37	3.39	889	339900	1
2016.01.15	13:00:00	3.39	3.40	3.37	3.38	1330	441200	1
