<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	10:00:00	16.87	17.47	16.54	17.41	195	88200	1
2016.01.04	11:00:00	17.40	17.76	17.40	17.64	279	84500	1
2016.01.04	12:00:00	17.64	17.89	17.56	17.89	137	45200	1
2016.01.04	13:00:00	17.85	18.21	17.84	17.93	287	70100	1
2016.01.04	14:00:00	17.96	18.03	17.66	17.94	279	63400	1
2016.01.04	15:00:00	18.00	18.10	17.87	17.98	154	43100	1
2016.01.04	16:00:00	17.97	18.04	17.71	17.92	354	73800	1
2016.01.04	17:00:00	17.92	18.02	17.86	17.94	227	55200	1
2016.01.04	18:00:00	17.86	17.86	17.86	17.86	21	16100	1
2016.01.05	10:00:00	18.22	18.49	17.87	18.01	205	69200	1
2016.01.05	11:00:00	18.00	18.31	17.97	18.09	109	39900	1
2016.01.05	12:00:00	18.09	18.14	18.06	18.09	83	39100	1
2016.01.05	13:00:00	18.09	18.13	18.06	18.13	122	24500	1
2016.01.05	14:00:00	18.11	18.15	18.08	18.11	141	36000	1
2016.01.05	15:00:00	18.12	18.15	18.07	18.07	115	25200	1
2016.01.05	16:00:00	18.07	18.13	17.96	18.06	225	51100	1
2016.01.05	17:00:00	18.07	18.11	17.86	17.94	230	61800	1
2016.01.05	18:00:00	18.04	18.04	18.04	18.04	30	28900	1
2016.01.06	10:00:00	18.04	18.21	17.56	17.80	115	52600	1
2016.01.06	11:00:00	17.80	17.90	17.63	17.77	72	20400	1
2016.01.06	12:00:00	17.76	17.76	17.51	17.51	218	38600	1
2016.01.06	13:00:00	17.51	17.53	17.22	17.23	297	57000	1
2016.01.06	14:00:00	17.24	17.56	17.22	17.23	300	79400	1
2016.01.06	15:00:00	17.24	17.30	16.93	17.12	290	50700	1
2016.01.06	16:00:00	17.14	17.27	16.96	16.97	233	38900	1
2016.01.06	17:00:00	16.97	17.03	16.54	16.62	286	85400	1
2016.01.06	18:00:00	16.48	16.48	16.48	16.48	42	35300	1
2016.01.07	10:00:00	15.92	15.92	13.04	13.30	364	217000	1
2016.01.07	11:00:00	13.43	15.03	13.31	14.89	358	182000	1
2016.01.07	12:00:00	14.95	15.81	14.94	15.32	357	105700	1
2016.01.07	13:00:00	15.32	15.48	15.03	15.21	259	169900	1
2016.01.07	14:00:00	15.21	15.21	14.84	15.03	146	36000	1
2016.01.07	15:00:00	15.04	15.04	14.43	14.68	166	40200	1
2016.01.07	16:00:00	14.68	14.68	14.04	14.08	226	46100	1
