<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	10:00:00	22.91	22.97	22.53	22.96	372	90900	5
2016.01.04	11:00:00	22.94	23.19	22.94	23.00	359	59800	5
2016.01.04	12:00:00	22.99	23.14	22.94	23.08	582	125500	5
2016.01.04	13:00:00	23.08	23.11	22.85	22.95	997	126200	5
2016.01.04	14:00:00	22.95	23.11	22.76	23.09	1229	188900	5
2016.01.04	15:00:00	23.10	23.19	22.97	23.15	652	89600	5
2016.01.04	16:00:00	23.16	23.44	23.11	23.43	566	77400	5
2016.01.04	17:00:00	23.43	23.51	23.25	23.26	479	58800	5
2016.01.04	18:00:00	23.21	23.21	23.21	23.21	89	262900	5
2016.01.05	10:00:00	23.35	23.70	23.22	23.23	355	66000	5
2016.01.05	11:00:00	23.27	23.40	23.04	23.33	261	64500	5
2016.01.05	12:00:00	23.33	23.94	23.33	23.90	389	80100	5
2016.01.05	13:00:00	23.89	23.90	23.45	23.65	743	105700	5
2016.01.05	14:00:00	23.66	23.72	23.51	23.57	525	76300	5
2016.01.05	15:00:00	23.58	23.77	23.41	23.76	502	73600	5
2016.01.05	16:00:00	23.76	23.87	23.68	23.83	489	64000	5
2016.01.05	17:00:00	23.84	23.98	23.57	23.70	878	156700	5
2016.01.05	18:00:00	23.46	23.46	23.46	23.46	102	183100	5
2016.01.06	10:00:00	23.35	23.59	23.12	23.46	393	64300	5
2016.01.06	11:00:00	23.45	23.71	23.41	23.71	291	42700	5
2016.01.06	12:00:00	23.69	23.83	23.52	23.80	492	69700	5
2016.01.06	13:00:00	23.80	23.83	23.66	23.71	373	53000	5
2016.01.06	14:00:00	23.71	23.86	23.71	23.75	392	53500	5
2016.01.06	15:00:00	23.75	23.82	23.57	23.79	514	68800	5
2016.01.06	16:00:00	23.80	23.91	23.70	23.78	751	107500	5
2016.01.06	17:00:00	23.79	23.99	23.71	23.86	1053	171300	5
2016.01.06	18:00:00	23.75	23.75	23.75	23.75	72	90100	5
2016.01.07	10:00:00	23.50	23.61	23.40	23.55	569	108800	5
2016.01.07	11:00:00	23.55	23.70	23.48	23.61	683	155500	5
2016.01.07	12:00:00	23.60	23.69	23.14	23.24	725	111700	5
2016.01.07	13:00:00	23.22	23.29	22.88	23.06	1284	195800	5
2016.01.07	14:00:00	23.05	23.27	23.05	23.21	827	129800	5
2016.01.07	15:00:00	23.19	23.42	23.02	23.14	759	110000	5
2016.01.07	16:00:00	23.11	23.20	22.83	22.92	866	122300	5
2016.01.07	17:00:00	22.90	23.40	22.90	23.14	884	158000	5
2016.01.07	18:00:00	22.82	22.82	22.82	22.82	124	231000	5
2016.01.08	10:00:00	22.88	23.33	22.87	22.94	342	58300	5
2016.01.08	11:00:00	22.96	23.21	22.71	22.97	344	54100	5
2016.01.08	12:00:00	22.95	23.12	22.55	22.58	470	65800	5
2016.01.08	13:00:00	22.55	22.67	22.29	22.51	857	162900	5
2016.01.08	14:00:00	22.55	22.70	22.46	22.57	640	116600	5
2016.01.08	15:00:00	22.55	22.64	22.53	22.53	407	104700	5
2016.01.08	16:00:00	22.53	22.58	22.33	22.39	489	90800	5
2016.01.08	17:00:00	22.36	22.49	22.31	22.43	331	97900	5
2016.01.08	18:00:00	22.27	22.27	22.27	22.27	83	260300	5
2016.01.11	10:00:00	22.46	22.54	22.09	22.32	341	387900	5
2016.01.11	11:00:00	22.32	22.63	22.31	22.51	253	35200	5
2016.01.11	12:00:00	22.52	23.05	22.50	22.89	531	141900	5
2016.01.11	13:00:00	22.88	22.92	22.25	22.25	519	69200	5
2016.01.11	14:00:00	22.25	22.55	22.24	22.55	451	66200	5
2016.01.11	15:00:00	22.54	22.64	22.29	22.49	361	51700	5
2016.01.11	16:00:00	22.49	22.64	22.26	22.27	568	77800	5
2016.01.11	17:00:00	22.28	22.37	22.25	22.28	478	70700	5
2016.01.11	18:00:00	22.22	22.22	22.22	22.22	81	137000	5
2016.01.12	10:00:00	22.53	22.87	22.28	22.29	238	46900	5
2016.01.12	11:00:00	22.28	22.61	22.28	22.51	260	36400	5
2016.01.12	12:00:00	22.50	22.61	22.43	22.43	274	36200	5
2016.01.12	13:00:00	22.43	22.61	22.28	22.34	395	63200	5
2016.01.12	14:00:00	22.34	22.46	22.25	22.45	376	62400	5
2016.01.12	15:00:00	22.45	22.59	22.43	22.57	410	60500	5
2016.01.12	16:00:00	22.58	22.62	22.55	22.58	323	41400	5
2016.01.12	17:00:00	22.57	22.60	22.38	22.44	489	83700	5
2016.01.12	18:00:00	22.34	22.34	22.34	22.34	62	129300	5
2016.01.13	10:00:00	22.56	22.80	22.26	22.49	227	47900	5
2016.01.13	11:00:00	22.49	22.61	22.37	22.55	187	26100	5
2016.01.13	12:00:00	22.56	22.65	22.38	22.47	225	35300	5
2016.01.13	13:00:00	22.45	22.47	22.29	22.45	430	78100	5
2016.01.13	14:00:00	22.43	22.47	22.33	22.44	408	70500	5
2016.01.13	15:00:00	22.41	22.47	22.35	22.37	327	58000	5
2016.01.13	16:00:00	22.35	22.41	22.33	22.35	367	60000	5
2016.01.13	17:00:00	22.36	22.49	22.25	22.49	554	243100	5
2016.01.13	18:00:00	22.33	22.33	22.33	22.33	64	369400	5
2016.01.14	10:00:00	22.34	22.97	22.33	22.87	409	74200	5
2016.01.14	11:00:00	22.85	22.89	22.38	22.41	308	60500	5
2016.01.14	12:00:00	22.42	22.62	22.38	22.44	319	51200	5
2016.01.14	13:00:00	22.47	22.64	22.36	22.40	378	66700	5
2016.01.14	14:00:00	22.43	22.56	22.38	22.52	478	101000	5
2016.01.14	15:00:00	22.52	22.80	22.45	22.57	394	78400	5
2016.01.14	16:00:00	22.56	22.66	22.43	22.45	564	239300	5
2016.01.14	17:00:00	22.45	22.52	22.42	22.52	640	108200	5
2016.01.14	18:00:00	22.28	22.28	22.28	22.28	103	187100	5
2016.01.15	10:00:00	22.25	22.25	21.74	21.81	344	67500	5
2016.01.15	11:00:00	21.81	22.04	21.80	21.96	408	72700	5
2016.01.15	12:00:00	21.98	22.44	21.84	22.25	594	274400	5
2016.01.15	13:00:00	22.25	22.91	22.11	22.59	662	117700	5
2016.01.15	14:00:00	22.59	22.64	22.44	22.49	565	93900	5
2016.01.15	15:00:00	22.50	22.55	22.12	22.45	595	99600	5
2016.01.15	16:00:00	22.45	22.49	22.34	22.41	595	79800	5
2016.01.15	17:00:00	22.41	22.41	22.15	22.40	749	114200	5
2016.01.15	18:00:00	22.28	22.28	22.28	22.28	79	254000	5
2016.01.18	10:00:00	22.51	22.80	22.39	22.55	321	50000	5
2016.01.18	11:00:00	22.56	22.63	22.41	22.56	352	53200	5
2016.01.18	12:00:00	22.57	22.64	22.38	22.48	265	39800	5
2016.01.18	13:00:00	22.49	22.58	22.45	22.52	201	28300	5
2016.01.18	14:00:00	22.54	22.61	22.50	22.60	221	31100	5
2016.01.18	15:00:00	22.59	22.62	22.51	22.57	218	30100	5
2016.01.18	16:00:00	22.56	22.58	22.36	22.38	386	66200	5
2016.01.18	17:00:00	22.38	22.57	22.38	22.49	355	61200	5
2016.01.18	18:00:00	22.20	22.20	22.20	22.20	89	112800	5
2016.01.19	10:00:00	22.54	22.81	22.45	22.47	385	61300	5
2016.01.19	11:00:00	22.47	22.55	22.15	22.21	515	104700	5
2016.01.19	12:00:00	22.21	22.21	21.77	21.89	700	199300	5
2016.01.19	13:00:00	21.89	21.90	21.43	21.56	680	176600	5
2016.01.19	14:00:00	21.56	21.76	21.35	21.56	455	147100	5
2016.01.19	15:00:00	21.58	21.67	21.37	21.44	675	171000	5
2016.01.19	16:00:00	21.45	21.65	21.32	21.35	666	129500	5
2016.01.19	17:00:00	21.35	21.48	21.30	21.48	1097	182100	5
2016.01.19	18:00:00	21.54	21.54	21.54	21.54	107	280100	5
