<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	10:00:00	6.57	6.69	6.55	6.62	1659	4767500	1
2016.01.04	11:00:00	6.63	6.86	6.62	6.84	2215	7050300	1
2016.01.04	12:00:00	6.83	6.97	6.82	6.92	4073	7472700	1
2016.01.04	13:00:00	6.93	7.03	6.86	6.88	4838	10486000	1
2016.01.04	14:00:00	6.89	6.89	6.79	6.85	3271	5964000	1
2016.01.04	15:00:00	6.85	6.89	6.83	6.87	2516	3127100	1
2016.01.04	16:00:00	6.88	6.89	6.84	6.86	2698	2382200	1
2016.01.04	17:00:00	6.87	6.87	6.80	6.82	2487	2919800	1
2016.01.04	18:00:00	6.87	6.87	6.87	6.87	231	1781300	1
2016.01.05	10:00:00	6.92	7.00	6.83	6.84	2105	4009400	1
2016.01.05	11:00:00	6.85	6.92	6.84	6.89	1689	2238300	1
2016.01.05	12:00:00	6.89	6.89	6.71	6.73	4638	6264900	1
2016.01.05	13:00:00	6.72	6.75	6.66	6.71	3648	4289500	1
2016.01.05	14:00:00	6.71	6.73	6.66	6.67	2949	2862400	1
2016.01.05	15:00:00	6.67	6.68	6.62	6.66	3025	3402500	1
2016.01.05	16:00:00	6.66	6.68	6.63	6.67	2753	1940900	1
2016.01.05	17:00:00	6.67	6.69	6.65	6.65	2637	2342000	1
2016.01.05	18:00:00	6.68	6.68	6.68	6.68	197	2096800	1
2016.01.06	10:00:00	6.53	6.54	6.46	6.46	2638	6206400	1
2016.01.06	11:00:00	6.47	6.51	6.46	6.50	2413	2421600	1
2016.01.06	12:00:00	6.50	6.51	6.42	6.50	4325	5209600	1
2016.01.06	13:00:00	6.49	6.50	6.41	6.42	5112	7250200	1
2016.01.06	14:00:00	6.42	6.49	6.42	6.46	4904	3930300	1
2016.01.06	15:00:00	6.46	6.48	6.42	6.42	4912	5634000	1
2016.01.06	16:00:00	6.44	6.46	6.42	6.43	4681	3018900	1
2016.01.06	17:00:00	6.44	6.48	6.41	6.41	7561	11109800	1
2016.01.06	18:00:00	6.40	6.40	6.40	6.40	476	22726400	1
2016.01.07	10:00:00	6.19	6.19	6.08	6.11	3383	6399900	1
2016.01.07	11:00:00	6.11	6.17	6.09	6.15	2408	3197300	1
2016.01.07	12:00:00	6.15	6.30	6.12	6.24	5158	7128100	1
2016.01.07	13:00:00	6.24	6.37	6.19	6.37	4527	7580200	1
2016.01.07	14:00:00	6.37	6.43	6.32	6.38	4198	6784700	1
2016.01.07	15:00:00	6.38	6.40	6.31	6.33	3220	4055800	1
2016.01.07	16:00:00	6.33	6.35	6.27	6.28	3370	3823000	1
2016.01.07	17:00:00	6.27	6.30	6.24	6.28	2237	3379500	1
2016.01.07	18:00:00	6.26	6.26	6.26	6.26	303	15039400	1
2016.01.08	10:00:00	6.38	6.43	6.35	6.40	2435	4698600	1
2016.01.08	11:00:00	6.41	6.45	6.39	6.41	2679	4723500	1
