<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.03.13	10:00:00	8.70	8.70	8.55	8.69	480	383500	1
2017.03.13	11:00:00	8.68	8.69	8.63	8.65	614	398400	1
2017.03.13	12:00:00	8.64	8.67	8.64	8.66	793	299300	1
2017.03.13	13:00:00	8.66	8.83	8.66	8.78	905	393900	1
2017.03.13	14:00:00	8.78	8.82	8.69	8.80	752	310800	1
2017.03.13	15:00:00	8.79	8.81	8.74	8.79	817	332200	1
2017.03.13	16:00:00	8.78	8.82	8.76	8.77	1197	475900	1
2017.03.13	17:00:00	8.74	8.80	8.74	8.77	99	430800	1
2017.03.14	10:00:00	8.73	8.73	8.48	8.60	1165	562900	1
2017.03.14	11:00:00	8.61	8.85	8.60	8.76	945	415900	1
2017.03.14	12:00:00	8.76	8.76	8.53	8.68	672	322600	1
2017.03.14	13:00:00	8.68	8.72	8.57	8.64	454	162700	1
2017.03.14	14:00:00	8.65	8.75	8.64	8.69	473	170100	1
2017.03.14	15:00:00	8.70	8.72	8.36	8.52	1548	604500	1
2017.03.14	16:00:00	8.52	8.63	8.50	8.60	707	383600	1
2017.03.14	17:00:00	8.66	8.68	8.60	8.68	116	544000	1
2017.03.15	10:00:00	8.65	8.65	8.43	8.45	2268	777900	1
2017.03.15	11:00:00	8.46	8.51	8.42	8.49	1138	358600	1
2017.03.15	12:00:00	8.49	8.60	8.48	8.56	896	252300	1
2017.03.15	13:00:00	8.56	8.60	8.50	8.60	602	138400	1
2017.03.15	14:00:00	8.59	8.63	8.57	8.63	790	234100	1
2017.03.15	15:00:00	8.63	8.84	8.62	8.80	2504	1101500	1
2017.03.15	16:00:00	8.81	8.95	8.71	8.86	3716	1627900	1
2017.03.15	17:00:00	8.95	8.98	8.82	8.92	229	1446800	1
2017.03.16	10:00:00	9.00	9.06	8.88	8.95	1333	1956400	1
2017.03.16	11:00:00	8.94	8.99	8.88	8.98	950	403000	1
2017.03.16	12:00:00	8.97	8.98	8.91	8.97	668	269200	1
2017.03.16	13:00:00	8.97	9.00	8.95	9.00	435	763300	1
2017.03.16	14:00:00	9.00	9.00	8.95	8.96	637	761500	1
2017.03.16	15:00:00	8.96	8.98	8.88	8.90	972	482300	1
2017.03.16	16:00:00	8.90	8.90	8.73	8.76	1601	600000	1
2017.03.16	17:00:00	8.88	8.88	8.82	8.82	126	484100	1
2017.03.17	10:00:00	8.91	9.04	8.91	9.01	1886	795800	1
2017.03.17	11:00:00	9.02	9.05	8.92	8.99	2027	735700	1
2017.03.17	12:00:00	8.98	8.99	8.78	8.82	1827	828900	1
2017.03.17	13:00:00	8.81	8.84	8.70	8.75	1415	354500	1
2017.03.17	14:00:00	8.75	8.78	8.72	8.77	1048	224300	1
2017.03.17	15:00:00	8.77	8.90	8.75	8.88	1588	502000	1
2017.03.17	16:00:00	8.89	8.93	8.77	8.79	1681	941500	1
2017.03.17	17:00:00	9.00	9.00	8.90	8.95	234	2668500	1
2017.03.20	10:00:00	8.91	9.13	8.83	9.00	2221	1164900	1
2017.03.20	11:00:00	9.01	9.13	8.99	9.06	2633	1806000	1
2017.03.20	12:00:00	9.06	9.09	8.96	9.03	2300	610200	1
2017.03.20	13:00:00	9.03	9.05	8.96	8.97	548	7883900	1
2017.03.20	14:00:00	8.99	9.02	8.97	9.00	661	243000	1
2017.03.20	15:00:00	9.00	9.00	8.94	8.94	859	268900	1
2017.03.20	16:00:00	8.95	8.99	8.85	8.92	1530	583900	1
2017.03.20	17:00:00	8.91	8.94	8.91	8.93	134	728100	1
2017.03.21	10:00:00	8.90	8.96	8.74	8.76	1234	529200	1
2017.03.21	11:00:00	8.76	8.79	8.52	8.55	2000	1143900	1
2017.03.21	12:00:00	8.55	8.56	8.30	8.46	2381	1379100	1
2017.03.21	13:00:00	8.45	8.47	8.30	8.38	1733	519400	1
2017.03.21	14:00:00	8.39	8.39	8.16	8.32	2958	2496900	1
2017.03.21	15:00:00	8.32	8.47	8.28	8.38	1785	758300	1
2017.03.21	16:00:00	8.38	8.54	8.35	8.51	4231	1982900	1
2017.03.21	17:00:00	8.59	8.60	8.51	8.59	174	682000	1
2017.03.22	10:00:00	8.50	8.55	8.41	8.52	2131	855300	1
2017.03.22	11:00:00	8.52	8.67	8.49	8.65	1937	1201200	1
2017.03.22	12:00:00	8.65	8.84	8.64	8.72	1469	673200	1
2017.03.22	13:00:00	8.72	8.82	8.71	8.77	1003	516700	1
2017.03.22	14:00:00	8.76	8.82	8.71	8.74	1244	633700	1
2017.03.22	15:00:00	8.73	8.75	8.60	8.62	1046	630400	1
2017.03.22	16:00:00	8.62	8.69	8.56	8.68	1441	1269000	1
2017.03.22	17:00:00	8.75	8.80	8.72	8.73	159	469900	1
