<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	10:00:00	1.51	1.51	1.45	1.47	1033	2101900	1
2016.01.04	11:00:00	1.47	1.49	1.47	1.47	938	496100	1
2016.01.04	12:00:00	1.47	1.51	1.47	1.47	1433	1486200	1
2016.01.04	13:00:00	1.47	1.48	1.46	1.46	1717	794100	1
2016.01.04	14:00:00	1.46	1.47	1.46	1.46	1608	337800	1
2016.01.04	15:00:00	1.46	1.48	1.46	1.47	1604	458500	1
2016.01.04	16:00:00	1.47	1.48	1.46	1.46	2176	653600	1
2016.01.04	17:00:00	1.46	1.47	1.45	1.46	1889	1335400	1
2016.01.05	10:00:00	1.46	1.47	1.42	1.42	1326	2720100	1
2016.01.05	11:00:00	1.42	1.43	1.41	1.42	1785	1125500	1
2016.01.05	12:00:00	1.42	1.43	1.41	1.41	1580	427500	1
2016.01.05	13:00:00	1.41	1.42	1.36	1.37	2372	3620100	1
2016.01.05	14:00:00	1.37	1.37	1.36	1.36	2895	1088000	1
2016.01.05	15:00:00	1.36	1.37	1.34	1.35	2948	1967300	1
2016.01.05	16:00:00	1.35	1.38	1.35	1.36	2927	2023500	1
2016.01.05	17:00:00	1.36	1.37	1.34	1.34	2717	3069700	1
2016.01.06	10:00:00	1.29	1.32	1.28	1.28	1178	4183300	1
2016.01.06	11:00:00	1.28	1.30	1.28	1.29	1378	1090000	1
2016.01.06	12:00:00	1.29	1.31	1.29	1.29	1221	865100	1
2016.01.06	13:00:00	1.29	1.30	1.24	1.25	2006	3068500	1
2016.01.06	14:00:00	1.25	1.27	1.23	1.25	2110	7006800	1
2016.01.06	15:00:00	1.26	1.26	1.23	1.24	1795	1092000	1
2016.01.06	16:00:00	1.24	1.25	1.23	1.23	2255	1146600	1
2016.01.06	17:00:00	1.23	1.25	1.22	1.22	1679	2162500	1
2016.01.07	10:00:00	1.16	1.16	1.12	1.12	1403	3877100	1
2016.01.07	11:00:00	1.12	1.16	1.12	1.14	1779	1841000	1
2016.01.07	12:00:00	1.14	1.17	1.14	1.16	2375	1485100	1
2016.01.07	13:00:00	1.16	1.17	1.14	1.15	2658	1322300	1
2016.01.07	14:00:00	1.15	1.17	1.14	1.15	2514	1580100	1
2016.01.07	15:00:00	1.16	1.23	1.14	1.21	3928	2971100	1
2016.01.07	16:00:00	1.20	1.21	1.18	1.19	3423	2227000	1
2016.01.07	17:00:00	1.19	1.20	1.15	1.15	3133	2529400	1
2016.01.08	10:00:00	1.19	1.22	1.18	1.19	1120	2194400	1
2016.01.08	11:00:00	1.19	1.23	1.19	1.20	1160	1320900	1
2016.01.08	12:00:00	1.20	1.22	1.19	1.19	1359	2069700	1
2016.01.08	13:00:00	1.19	1.21	1.17	1.17	1938	1424300	1
2016.01.08	14:00:00	1.17	1.19	1.15	1.16	1996	1382500	1
2016.01.08	15:00:00	1.16	1.17	1.15	1.16	1985	801600	1
2016.01.08	16:00:00	1.16	1.18	1.15	1.18	2036	1242900	1
2016.01.08	17:00:00	1.17	1.19	1.17	1.18	1600	1683100	1
2016.01.11	10:00:00	1.17	1.21	1.17	1.20	538	1465800	1
2016.01.11	11:00:00	1.21	1.22	1.19	1.22	453	1073700	1
2016.01.11	12:00:00	1.22	1.22	1.19	1.20	658	908100	1
2016.01.11	13:00:00	1.19	1.20	1.17	1.19	621	1010700	1
2016.01.11	14:00:00	1.19	1.20	1.18	1.20	835	1152700	1
2016.01.11	15:00:00	1.20	1.20	1.19	1.19	359	431800	1
2016.01.11	16:00:00	1.18	1.20	1.18	1.19	479	503100	1
2016.01.11	17:00:00	1.19	1.21	1.18	1.20	936	1817300	1
2016.01.12	10:00:00	1.22	1.24	1.20	1.22	532	1600000	1
2016.01.12	11:00:00	1.20	1.21	1.17	1.21	654	2250900	1
2016.01.12	12:00:00	1.21	1.21	1.19	1.19	338	250500	1
2016.01.12	13:00:00	1.20	1.20	1.15	1.18	713	1513300	1
2016.01.12	14:00:00	1.17	1.18	1.16	1.16	454	791400	1
2016.01.12	15:00:00	1.16	1.18	1.16	1.18	562	407700	1
2016.01.12	16:00:00	1.18	1.18	1.16	1.18	600	472400	1
2016.01.12	17:00:00	1.18	1.18	1.15	1.15	585	1162800	1
2016.01.13	10:00:00	1.18	1.19	1.13	1.14	669	2796100	1
2016.01.13	11:00:00	1.15	1.17	1.14	1.16	592	1201800	1
2016.01.13	12:00:00	1.16	1.16	1.14	1.15	514	801300	1
2016.01.13	13:00:00	1.15	1.15	1.11	1.12	1027	2285700	1
2016.01.13	14:00:00	1.12	1.12	1.10	1.11	550	1232200	1
2016.01.13	15:00:00	1.11	1.12	1.08	1.10	517	1473500	1
2016.01.13	16:00:00	1.09	1.11	1.07	1.07	979	1051000	1
2016.01.13	17:00:00	1.07	1.08	1.03	1.03	1373	4179100	1
2016.01.14	10:00:00	1.03	1.06	1.00	1.00	1303	4577000	1
2016.01.14	11:00:00	1.01	1.02	0.99	1.01	714	2295400	1
2016.01.14	12:00:00	1.00	1.02	0.99	1.01	1011	1673300	1
2016.01.14	13:00:00	1.00	1.06	0.99	1.04	1663	3263500	1
2016.01.14	14:00:00	1.04	1.05	1.01	1.02	1026	1763000	1
2016.01.14	15:00:00	1.02	1.05	1.02	1.04	843	1013600	1
2016.01.14	16:00:00	1.04	1.05	1.03	1.04	818	849900	1
2016.01.14	17:00:00	1.05	1.05	1.04	1.04	1401	1075800	1
2016.01.15	10:00:00	1.00	1.00	0.96	0.98	1100	4581900	1
2016.01.15	11:00:00	0.99	0.99	0.96	0.96	1152	1649500	1
2016.01.15	12:00:00	0.97	0.97	0.95	0.96	1451	1932000	1
2016.01.15	13:00:00	0.96	0.99	0.96	0.97	1196	1776200	1
2016.01.15	14:00:00	0.98	0.99	0.97	0.98	752	1018200	1
2016.01.15	15:00:00	0.98	0.99	0.97	0.98	876	900500	1
2016.01.15	16:00:00	0.99	0.99	0.98	0.99	1061	875000	1
2016.01.15	17:00:00	0.98	0.99	0.96	0.96	1039	1578800	1
2016.01.18	10:00:00	0.98	0.99	0.96	0.97	438	1987000	1
2016.01.18	11:00:00	0.97	0.98	0.96	0.97	497	852300	1
2016.01.18	12:00:00	0.98	0.99	0.97	0.98	579	780300	1
2016.01.18	13:00:00	0.98	0.99	0.98	0.98	301	307100	1
2016.01.18	14:00:00	0.99	0.99	0.97	0.97	627	1037000	1
2016.01.18	15:00:00	0.97	0.99	0.97	0.98	606	484900	1
2016.01.18	16:00:00	0.97	0.99	0.97	0.98	678	838000	1
2016.01.18	17:00:00	0.98	1.02	0.97	1.02	830	2398200	1
