<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	10:00:00	12.09	12.29	12.08	12.25	1250	394400	1
2016.01.04	11:00:00	12.26	12.38	12.24	12.28	1318	809500	1
2016.01.04	12:00:00	12.27	12.54	12.27	12.36	967	315100	1
2016.01.04	13:00:00	12.37	12.57	12.32	12.37	1856	623700	1
2016.01.04	14:00:00	12.38	12.47	12.28	12.42	1140	442400	1
2016.01.04	15:00:00	12.43	12.47	12.35	12.36	2336	644600	1
2016.01.04	16:00:00	12.37	12.41	12.31	12.31	1851	335100	1
2016.01.04	17:00:00	12.31	12.32	12.22	12.29	2197	552200	1
2016.01.04	18:00:00	12.28	12.28	12.28	12.28	76	470900	1
2016.01.05	10:00:00	12.26	12.41	12.23	12.26	564	243100	1
2016.01.05	11:00:00	12.27	12.43	12.26	12.39	427	110000	1
2016.01.05	12:00:00	12.38	12.42	12.23	12.29	917	331600	1
2016.01.05	13:00:00	12.29	12.35	12.14	12.14	1324	414500	1
2016.01.05	14:00:00	12.15	12.19	12.07	12.12	1324	442800	1
2016.01.05	15:00:00	12.11	12.12	12.08	12.09	531	176500	1
2016.01.05	16:00:00	12.10	12.14	12.01	12.08	677	254400	1
2016.01.05	17:00:00	12.08	12.18	12.08	12.13	705	165800	1
2016.01.05	18:00:00	12.12	12.12	12.12	12.12	98	554800	1
2016.01.06	10:00:00	11.69	11.72	11.56	11.58	906	525000	1
2016.01.06	11:00:00	11.59	11.65	11.47	11.47	1652	652800	1
2016.01.06	12:00:00	11.47	11.70	11.46	11.63	4778	1659200	1
2016.01.06	13:00:00	11.63	11.64	11.42	11.44	2099	716300	1
2016.01.06	14:00:00	11.44	11.59	11.43	11.48	2735	838700	1
2016.01.06	15:00:00	11.48	11.51	11.43	11.44	2090	628400	1
2016.01.06	16:00:00	11.43	11.45	11.32	11.35	2044	706500	1
2016.01.06	17:00:00	11.35	11.40	11.21	11.23	1095	361200	1
2016.01.06	18:00:00	11.22	11.22	11.22	11.22	134	670800	1
2016.01.07	10:00:00	10.89	10.90	10.54	10.57	2200	775100	1
2016.01.07	11:00:00	10.58	10.73	10.56	10.73	1569	478800	1
2016.01.07	12:00:00	10.73	11.00	10.69	10.83	2572	921400	1
2016.01.07	13:00:00	10.83	10.89	10.73	10.82	2173	647200	1
2016.01.07	14:00:00	10.82	10.91	10.76	10.80	2048	945400	1
2016.01.07	15:00:00	10.80	10.81	10.73	10.74	1815	554200	1
2016.01.07	16:00:00	10.74	10.76	10.56	10.59	2766	769700	1
2016.01.07	17:00:00	10.60	10.65	10.53	10.58	1747	547700	1
2016.01.07	18:00:00	10.56	10.56	10.56	10.56	105	810900	1
2016.01.08	10:00:00	10.72	10.87	10.72	10.81	693	212700	1
2016.01.08	11:00:00	10.81	10.88	10.73	10.82	1005	223700	1
2016.01.08	12:00:00	10.82	10.87	10.66	10.68	1099	240300	1
2016.01.08	13:00:00	10.68	10.71	10.60	10.64	2101	697300	1
2016.01.08	14:00:00	10.64	10.67	10.30	10.45	2633	979600	1
2016.01.08	15:00:00	10.45	10.52	10.37	10.39	1361	517400	1
2016.01.08	16:00:00	10.39	10.45	10.32	10.37	1436	343200	1
2016.01.08	17:00:00	10.37	10.38	10.20	10.24	1228	397600	1
2016.01.08	18:00:00	10.20	10.20	10.20	10.20	73	817600	1
2016.01.11	10:00:00	10.16	10.27	9.97	10.19	752	354600	1
2016.01.11	11:00:00	10.18	10.42	10.12	10.34	896	312000	1
2016.01.11	12:00:00	10.34	10.39	10.13	10.15	1362	522400	1
2016.01.11	13:00:00	10.15	10.17	10.03	10.05	1760	558200	1
2016.01.11	14:00:00	10.03	10.10	9.96	10.04	2096	592300	1
2016.01.11	15:00:00	10.03	10.05	9.97	9.98	1600	479800	1
2016.01.11	16:00:00	9.98	10.00	9.81	9.81	1982	1025300	1
2016.01.11	17:00:00	9.81	9.98	9.81	9.93	1481	481000	1
2016.01.11	18:00:00	9.91	9.91	9.91	9.91	169	1332500	1
2016.01.12	10:00:00	10.12	10.12	9.86	9.91	522	293800	1
