<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.01.04	09:00:00	42630	43170	42625	42975	1345	4389	1
2016.01.04	09:05:00	42980	43065	42965	43050	415	1419	1
2016.01.04	09:10:00	43050	43145	43040	43070	450	2711	1
2016.01.04	09:15:00	43065	43105	43055	43095	225	1334	1
2016.01.04	09:20:00	43100	43100	43045	43045	180	1141	1
2016.01.04	09:25:00	43050	43060	43000	43025	265	1519	1
2016.01.04	09:30:00	43030	43030	42965	43010	220	1392	1
2016.01.04	09:35:00	43010	43045	42975	43025	245	1160	1
2016.01.04	09:40:00	43025	43060	42980	43005	225	1721	1
2016.01.04	09:45:00	43000	43050	42970	43005	290	2025	1
2016.01.04	09:50:00	43005	43015	42935	42940	225	1290	1
2016.01.04	09:55:00	42940	43020	42935	42975	240	1005	1
2016.01.04	10:00:00	42980	43040	42980	43030	255	1044	1
2016.01.04	10:05:00	43020	43090	42970	42995	340	2515	1
2016.01.04	10:10:00	42990	43005	42965	42985	215	1221	1
2016.01.04	10:15:00	42990	42990	42910	42930	245	2432	1
2016.01.04	10:20:00	42925	42955	42915	42935	205	903	1
2016.01.04	10:25:00	42940	42945	42830	42910	365	3199	1
2016.01.04	10:30:00	42905	42920	42875	42895	205	907	1
2016.01.04	10:35:00	42895	42945	42890	42940	240	1264	1
2016.01.04	10:40:00	42940	42950	42925	42935	185	968	1
2016.01.04	10:45:00	42930	42980	42930	42970	230	1696	1
2016.01.04	10:50:00	42975	42995	42955	42955	175	900	1
2016.01.04	10:55:00	42960	42985	42920	42940	195	865	1
2016.01.04	11:00:00	42945	43000	42935	42990	215	1754	1
2016.01.04	11:05:00	42995	43030	42960	43010	265	1892	1
2016.01.04	11:10:00	43010	43035	42985	43015	195	1246	1
2016.01.04	11:15:00	43015	43185	43015	43135	385	4965	1
2016.01.04	11:20:00	43140	43195	43110	43145	285	2560	1
2016.01.04	11:25:00	43140	43150	43075	43090	275	2153	1
2016.01.04	11:30:00	43090	43145	43070	43130	240	1731	1
2016.01.04	11:35:00	43135	43135	43080	43115	255	1889	1
2016.01.04	11:40:00	43115	43150	43110	43140	200	1033	1
2016.01.04	11:45:00	43145	43145	43080	43100	280	2360	1
2016.01.04	11:50:00	43090	43105	43085	43100	130	1430	1
2016.01.04	11:55:00	43100	43105	43045	43055	205	3215	1
2016.01.04	12:00:00	43055	43085	43030	43080	215	1884	1
2016.01.04	12:05:00	43080	43090	43045	43080	165	1136	1
2016.01.04	12:10:00	43085	43115	43050	43085	220	1739	1
2016.01.04	12:15:00	43090	43275	43085	43200	430	6408	1
2016.01.04	12:20:00	43200	43290	43185	43195	410	4357	1
2016.01.04	12:25:00	43195	43210	43175	43190	180	1276	1
2016.01.04	12:30:00	43185	43210	43105	43170	405	5092	1
2016.01.04	12:35:00	43165	43260	43165	43170	380	4926	1
2016.01.04	12:40:00	43180	43215	43025	43070	515	5661	1
2016.01.04	12:45:00	43065	43080	42965	43035	535	6835	1
2016.01.04	12:50:00	43040	43115	43025	43060	400	4221	1
2016.01.04	12:55:00	43065	43085	43010	43030	295	1696	1
2016.01.04	13:00:00	43045	43055	42880	42910	520	7342	1
2016.01.04	13:05:00	42915	43040	42890	43040	360	3395	1
2016.01.04	13:10:00	43040	43105	43010	43085	370	3148	1
2016.01.04	13:15:00	43085	43120	43040	43095	385	4381	1
2016.01.04	13:20:00	43100	43180	43040	43080	370	4880	1
2016.01.04	13:25:00	43085	43215	43070	43115	360	4806	1
2016.01.04	13:30:00	43115	43175	43095	43110	280	2332	1
2016.01.04	13:35:00	43110	43125	43070	43085	270	1858	1
2016.01.04	13:40:00	43085	43135	43050	43125	330	2270	1
2016.01.04	13:45:00	43120	43120	43035	43065	290	2216	1
2016.01.04	13:50:00	43060	43135	43050	43125	300	1988	1
2016.01.04	13:55:00	43125	43135	43035	43050	260	2647	1
2016.01.04	14:00:00	43045	43050	42965	43025	435	4839	1
2016.01.04	14:05:00	43030	43030	42890	42930	410	4846	1
2016.01.04	14:10:00	42925	42960	42895	42930	325	2987	1
2016.01.04	14:15:00	42935	42985	42930	42940	255	2788	1
2016.01.04	14:20:00	42940	42960	42855	42955	300	3833	1
2016.01.04	14:25:00	42960	43070	42950	43060	405	5185	1
2016.01.04	14:30:00	43055	43075	43005	43050	260	3129	1
2016.01.04	14:35:00	43050	43090	43015	43070	285	2260	1
2016.01.04	14:40:00	43075	43110	43045	43095	290	2772	1
2016.01.04	14:45:00	43090	43095	43045	43075	220	2078	1
2016.01.04	14:50:00	43075	43105	43060	43090	190	1778	1
2016.01.04	14:55:00	43085	43085	43015	43055	210	2198	1
2016.01.04	15:00:00	43055	43055	42960	42960	240	2779	1
2016.01.04	15:05:00	42965	43060	42960	43030	305	2379	1
2016.01.04	15:10:00	43030	43055	43015	43030	190	1330	1
2016.01.04	15:15:00	43030	43070	43030	43065	140	942	1
2016.01.04	15:20:00	43065	43105	43045	43095	165	1481	1
2016.01.04	15:25:00	43095	43105	43065	43090	185	1421	1
2016.01.04	15:30:00	43090	43090	43030	43035	170	2065	1
2016.01.04	15:35:00	43030	43055	43000	43040	265	2427	1
2016.01.04	15:40:00	43045	43085	43025	43085	175	1565	1
2016.01.04	15:45:00	43080	43080	42985	43015	320	2409	1
2016.01.04	15:50:00	43020	43070	43015	43035	160	1132	1
2016.01.04	15:55:00	43040	43040	42990	43010	185	2282	1
2016.01.04	16:00:00	43010	43010	42940	42965	240	3036	1
2016.01.04	16:05:00	42960	43005	42955	42980	170	1550	1
2016.01.04	16:10:00	42980	42985	42930	42940	170	1620	1
2016.01.04	16:15:00	42935	42935	42885	42920	240	3559	1
2016.01.04	16:20:00	42910	42935	42875	42880	200	2231	1
2016.01.04	16:25:00	42880	42905	42830	42840	215	2769	1
2016.01.04	16:30:00	42840	42920	42835	42900	235	2037	1
2016.01.04	16:35:00	42900	42915	42875	42905	160	1823	1
2016.01.04	16:40:00	42905	42915	42865	42870	200	1734	1
2016.01.04	16:45:00	42870	42885	42820	42835	180	1779	1
2016.01.04	16:50:00	42835	42880	42810	42880	170	1994	1
2016.01.04	16:55:00	42875	42920	42860	42895	185	2103	1
2016.01.04	17:00:00	42900	42900	42835	42845	185	1562	1
2016.01.04	17:05:00	42845	42845	42740	42790	255	4460	1
2016.01.04	17:10:00	42785	42800	42730	42745	260	1891	1
2016.01.04	17:15:00	42745	42745	42635	42700	300	4833	1
2016.01.04	17:20:00	42705	42715	42685	42705	185	1408	1
2016.01.04	17:25:00	42710	42735	42685	42715	235	1342	1
2016.01.04	17:30:00	42720	42720	42620	42625	220	2627	1
2016.01.04	17:35:00	42625	42630	42540	42600	315	4325	1
2016.01.04	17:40:00	42600	42680	42595	42680	235	2077	1
2016.01.04	17:45:00	42680	42720	42650	42650	260	2811	1
2016.01.04	17:50:00	42655	42675	42590	42620	365	1723	1
2016.01.04	17:55:00	42635	42695	42575	42660	475	2266	1
2016.01.04	18:00:00	42665	42670	42600	42625	325	1306	1
2016.01.04	18:05:00	42620	42635	42500	42500	460	2365	1
2016.01.05	09:00:00	42590	42710	42540	42665	490	3041	1
2016.01.05	09:05:00	42660	42685	42650	42675	140	812	1
2016.01.05	09:10:00	42675	42805	42665	42795	315	4893	1
2016.01.05	09:15:00	42790	42820	42755	42760	210	1962	1
2016.01.05	09:20:00	42760	42775	42725	42745	180	1174	1
2016.01.05	09:25:00	42745	42745	42685	42700	235	2199	1
2016.01.05	09:30:00	42700	42765	42660	42730	445	4713	1
2016.01.05	09:35:00	42730	42760	42690	42690	230	1012	1
2016.01.05	09:40:00	42690	42745	42690	42740	145	684	1
2016.01.05	09:45:00	42740	42805	42725	42785	250	3268	1
2016.01.05	09:50:00	42790	42800	42730	42740	215	1587	1
2016.01.05	09:55:00	42740	42750	42705	42735	265	1621	1
