Date,Open,High,Low,Close,Adj Close,Volume
2016-10-04,10.55,10.56,10.3,10.38,9.906571000000001,1125400
2016-10-05,10.35,10.58,10.35,10.51,10.030643,1844200
2016-10-06,10.51,10.67,10.45,10.59,10.106993,1064400
2016-10-07,10.64,10.77,10.56,10.69,10.202432,1836500
2016-10-10,10.74,10.85,10.58,10.85,10.355135,1135100
2016-10-11,10.84,10.89,10.72,10.85,10.355135,1388200
2016-10-13,10.86,10.86,10.55,10.75,10.259694999999999,2259700
2016-10-14,10.77,10.9,10.73,10.81,10.316958999999999,1484900
2016-10-17,10.82,10.85,10.54,10.61,10.126081,1899000
2016-10-18,10.65,10.86,10.49,10.83,10.336046000000001,1847700
2016-10-19,10.77,11.0,10.68,10.8,10.307414999999999,2236400
2016-10-20,10.77,10.82,10.56,10.75,10.259694999999999,1974600
2016-10-21,10.7,10.81,10.55,10.67,10.183345,3881200
2016-10-24,10.67,11.12,10.67,11.06,10.555556,3862800
2016-10-25,11.11,11.14,10.74,10.97,10.469662,3282200
2016-10-26,10.87,11.03,10.74,10.85,10.355135,2751600
2016-10-27,10.88,11.0,10.72,10.92,10.421942,1631400
2016-10-28,10.83,11.05,10.78,10.92,10.421942,2288100
2016-10-31,10.84,10.94,10.67,10.75,10.259694999999999,5516300
2016-11-01,10.76,10.82,10.42,10.64,10.154713000000001,2144600
2016-11-03,10.63,10.7,10.29,10.3,9.830219999999999,3594700
2016-11-04,10.36,10.42,10.18,10.33,9.858851,2185800
2016-11-07,10.35,10.8,10.35,10.8,10.307414999999999,3376400
2016-11-08,10.79,11.03,10.59,10.93,10.431486,2400300
2016-11-09,10.7,10.88,10.46,10.88,10.383766,2687600
2016-11-10,10.85,10.85,9.94,10.0,9.543902000000001,9625400
2016-11-11,9.97,9.97,9.03,9.22,8.799479,7876200
2016-11-14,9.13,9.36,8.71,9.0,8.589512,4298200
2016-11-16,9.09,9.23,8.9,9.15,8.732671,2751600
2016-11-17,9.28,9.41,9.09,9.17,8.751759,3056800
2016-11-18,9.12,9.19,8.72,8.76,8.360459,4964900
2016-11-21,8.78,9.06,8.59,9.06,8.646776,3769300
2016-11-22,9.13,9.17,8.8,8.8,8.398635,5161800
2016-11-23,8.81,8.85,8.63,8.65,8.255475,5534400
2016-11-24,8.68,9.03,8.68,8.92,8.513162,1016100
2016-11-25,8.8,9.06,8.77,9.03,8.618144000000001,2571200
2016-11-28,9.06,9.07,8.88,8.92,8.513162,1866600
2016-11-29,8.92,9.08,8.9,8.92,8.513162,2705600
2016-11-30,9.06,9.33,9.0,9.33,8.904461,2688800
2016-12-01,9.18,9.18,8.87,8.93,8.522705,2792500
2016-12-02,8.78,9.42,8.77,9.42,8.990356,3803400
2016-12-05,9.42,9.43,9.22,9.3,8.87583,2382300
2016-12-06,9.26,9.73,8.87,9.64,9.200323,3441000
2016-12-07,9.68,10.04,9.68,9.89,9.43892,4573300
2016-12-08,10.04,10.04,9.34,9.54,9.104883000000001,3306500
2016-12-09,9.54,9.63,9.35,9.49,9.057163000000001,3449300
2016-12-12,9.33,9.54,9.31,9.41,8.980813000000001,3318400
2016-12-13,9.35,9.73,9.32,9.68,9.238498,2188000
2016-12-14,9.64,9.82,9.52,9.66,9.21941,1853900
2016-12-15,9.6,9.71,9.44,9.58,9.143059,1259700
2016-12-16,9.58,9.84,9.55,9.74,9.295761,2054900
2016-12-19,9.74,9.88,9.62,9.74,9.295761,3112300
2016-12-20,9.77,9.89,9.66,9.72,9.276672999999999,2883800
2016-12-21,9.6,9.6,9.6,9.6,9.162148,3017200
2016-12-22,9.56,9.85,9.55,9.78,9.333936999999999,915900
2016-12-23,9.8,10.17,9.69,9.97,9.515271,1635300
2016-12-26,9.99,10.11,9.93,9.93,9.477096000000001,358200
2016-12-27,10.03,10.09,9.92,10.02,9.562991,817600
2016-12-28,10.0,10.33,10.0,10.32,9.849308,1490800
2016-12-29,10.35,10.44,10.25,10.27,9.801589,1916900
2017-01-02,10.15,10.46,10.08,10.28,9.811132,1133200
2017-01-03,10.29,11.22,10.29,11.15,10.641451,3294900
2017-01-04,11.0,11.84,10.97,11.56,11.032752,4718600
2017-01-05,11.64,11.65,11.16,11.41,10.889593,3998600
2017-01-06,11.36,11.5,11.22,11.34,10.822785000000001,2099600
2017-01-09,11.34,11.91,11.31,11.75,11.214087,2555700
2017-01-10,11.7,11.87,11.58,11.58,11.051839999999999,1242200
2017-01-11,11.67,11.86,11.4,11.7,11.166367,2262900
2017-01-12,12.0,12.43,12.0,12.05,11.500403,7680300
2017-01-13,12.12,12.2,11.99,12.11,11.557666000000001,2142700
2017-01-16,12.11,12.58,12.05,12.36,11.796264,1881500
2017-01-17,12.37,12.9,12.37,12.8,12.216196,1492300
2017-01-18,13.25,13.39,11.94,12.11,11.557666000000001,5054000
2017-01-19,12.02,12.37,11.88,12.01,11.462228,3097000
2017-01-20,12.11,12.45,11.91,12.3,11.739,2210900
2017-01-23,12.42,12.58,12.13,12.5,11.929879,1410800
2017-01-24,12.55,12.73,12.3,12.45,11.882159,2664700
2017-01-26,12.45,12.64,12.45,12.55,11.977598,2001700
2017-01-27,12.55,12.85,12.44,12.76,12.17802,2005400
2017-01-30,12.66,12.72,12.4,12.51,11.939423,1627700
2017-01-31,12.37,12.99,12.33,12.95,12.359354,2069500
2017-02-01,13.0,13.18,12.89,12.89,12.302091,1603500
2017-02-02,12.88,13.15,12.68,12.88,12.292546000000002,1480000
2017-02-03,13.14,13.42,12.99,13.36,12.750653999999999,3235800
2017-02-06,13.5,13.95,13.32,13.45,12.836549,4509600
2017-02-07,13.71,13.82,13.42,13.65,13.027427000000001,2968500
2017-02-08,13.7,14.1,13.45,13.95,13.313745,4807000
2017-02-09,14.05,14.09,13.89,14.04,13.39964,3778400
2017-02-10,14.04,14.5,13.84,14.14,13.495079,2188200
2017-02-13,14.15,14.28,13.86,13.86,13.227848000000002,1107000
2017-02-14,13.88,13.95,13.33,13.67,13.046515,2641900
2017-02-15,13.68,13.81,13.53,13.67,13.046515,2084200
2017-02-16,13.75,13.75,13.26,13.41,12.798374,1801900
2017-02-17,13.52,13.64,13.3,13.5,12.884269,1387200
2017-02-20,13.64,13.74,13.39,13.39,12.779286,1292500
2017-02-21,13.39,13.65,13.34,13.58,12.96062,1664400
2017-02-22,13.6,13.64,13.41,13.57,12.951075999999999,775000
2017-02-23,13.65,13.97,12.86,13.23,12.626582,2758300
2017-02-24,13.1,13.24,12.81,12.99,12.39753,2179700
2017-03-01,12.95,13.13,12.52,12.9,12.311635,1289900
2017-03-02,12.91,13.07,12.82,12.92,12.330722999999999,1828500
2017-03-03,13.05,13.2,12.86,13.14,12.540689,3363200
2017-03-06,13.17,13.48,13.03,13.19,12.588408,1480300
2017-03-07,13.22,13.47,13.11,13.34,12.731566,1399800
2017-03-08,13.27,13.3,12.61,12.94,12.34981,1762800
2017-03-09,12.89,13.34,12.69,13.1,12.502513,2571500
2017-03-10,13.22,13.45,13.01,13.1,12.502513,3459000
2017-03-13,13.2,13.66,13.2,13.5,12.884269,2251400
2017-03-14,13.55,13.63,13.26,13.44,12.827003999999999,1616000
2017-03-15,13.45,13.6,13.17,13.47,12.855638,2356600
2017-03-16,13.54,13.6,13.3,13.45,12.836549,2147300
2017-03-17,13.51,13.56,13.17,13.19,12.588408,3257300
